#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
   144.0           4.5859E+00              4.5842E+00
   145.0           4.5855E+00              4.5838E+00
   146.0           4.5851E+00              4.5834E+00
   147.0           4.5847E+00              4.5830E+00
   148.0           4.5843E+00              4.5826E+00
   149.0           4.5838E+00              4.5822E+00
   150.0           4.5834E+00              4.5818E+00
   151.0           4.5830E+00              4.5814E+00
   152.0           4.5826E+00              4.5810E+00
   153.0           4.5822E+00              4.5806E+00
   154.0           4.5818E+00              4.5802E+00
   155.0           4.5814E+00              4.5798E+00
   156.0           4.5810E+00              4.5794E+00
   157.0           4.5806E+00              4.5790E+00
   158.0           4.5802E+00              4.5787E+00
   159.0           4.5798E+00              4.5783E+00
   160.0           4.5795E+00              4.5779E+00
   161.0           4.5791E+00              4.5775E+00
   162.0           4.5787E+00              4.5772E+00
   163.0           4.5783E+00              4.5768E+00
   164.0           4.5780E+00              4.5765E+00
   165.0           4.5776E+00              4.5761E+00
   166.0           4.5773E+00              4.5758E+00
   167.0           4.5770E+00              4.5755E+00
   168.0           4.5766E+00              4.5752E+00
   169.0           4.5763E+00              4.5749E+00
   170.0           4.5760E+00              4.5746E+00
   171.0           4.5757E+00              4.5743E+00
   172.0           4.5754E+00              4.5740E+00
   173.0           4.5752E+00              4.5737E+00
   174.0           4.5749E+00              4.5735E+00
   175.0           4.5747E+00              4.5733E+00
   176.0           4.5744E+00              4.5730E+00
   177.0           4.5742E+00              4.5728E+00
   178.0           4.5740E+00              4.5726E+00
   179.0           4.5738E+00              4.5724E+00
   180.0           4.5736E+00              4.5722E+00
   181.0           4.5734E+00              4.5721E+00
   182.0           4.5733E+00              4.5719E+00
   183.0           4.5731E+00              4.5718E+00
   184.0           4.5730E+00              4.5717E+00
   185.0           4.5729E+00              4.5716E+00
   186.0           4.5728E+00              4.5715E+00
   187.0           4.5727E+00              4.5714E+00
   188.0           4.5726E+00              4.5714E+00
   189.0           4.5726E+00              4.5714E+00
   190.0           4.5726E+00              4.5713E+00
   191.0           4.5726E+00              4.5713E+00
   192.0           4.5726E+00              4.5713E+00
   193.0           4.5726E+00              4.5714E+00
   194.0           4.5726E+00              4.5714E+00
   195.0           4.5727E+00              4.5715E+00
   196.0           4.5727E+00              4.5716E+00
   197.0           4.5728E+00              4.5717E+00
   198.0           4.5729E+00              4.5718E+00
   199.0           4.5730E+00              4.5719E+00
   200.0           4.5732E+00              4.5721E+00
   201.0           4.5733E+00              4.5722E+00
   202.0           4.5735E+00              4.5724E+00
   203.0           4.5737E+00              4.5726E+00
   204.0           4.5739E+00              4.5728E+00
   205.0           4.5741E+00              4.5730E+00
   206.0           4.5743E+00              4.5733E+00
   207.0           4.5745E+00              4.5735E+00
   208.0           4.5748E+00              4.5738E+00
   209.0           4.5751E+00              4.5741E+00
   210.0           4.5754E+00              4.5744E+00
   211.0           4.5757E+00              4.5747E+00
   212.0           4.5760E+00              4.5750E+00
   213.0           4.5763E+00              4.5754E+00
   214.0           4.5767E+00              4.5758E+00
   215.0           4.5771E+00              4.5761E+00
   216.0           4.5775E+00              4.5765E+00
   217.0           4.5779E+00              4.5770E+00
   218.0           4.5783E+00              4.5774E+00
   219.0           4.5787E+00              4.5778E+00
   220.0           4.5792E+00              4.5783E+00
   221.0           4.5796E+00              4.5788E+00
   222.0           4.5801E+00              4.5793E+00
   223.0           4.5806E+00              4.5798E+00
   224.0           4.5811E+00              4.5803E+00
   225.0           4.5817E+00              4.5808E+00
   226.0           4.5822E+00              4.5814E+00
   227.0           4.5828E+00              4.5820E+00
   228.0           4.5833E+00              4.5826E+00
   229.0           4.5839E+00              4.5832E+00
   230.0           4.5845E+00              4.5838E+00
   231.0           4.5852E+00              4.5844E+00
   232.0           4.5858E+00              4.5851E+00
   233.0           4.5865E+00              4.5857E+00
   234.0           4.5871E+00              4.5864E+00
   235.0           4.5878E+00              4.5871E+00
   236.0           4.5885E+00              4.5878E+00
   237.0           4.5892E+00              4.5885E+00
   238.0           4.5900E+00              4.5893E+00
   239.0           4.5907E+00              4.5900E+00
   240.0           4.5915E+00              4.5908E+00
   241.0           4.5923E+00              4.5916E+00
   242.0           4.5930E+00              4.5924E+00
   243.0           4.5939E+00              4.5932E+00
   244.0           4.5947E+00              4.5941E+00
   245.0           4.5955E+00              4.5949E+00
   246.0           4.5964E+00              4.5958E+00
   247.0           4.5972E+00              4.5966E+00
   248.0           4.5981E+00              4.5975E+00
   249.0           4.5990E+00              4.5985E+00
   250.0           4.5999E+00              4.5994E+00
   251.0           4.6009E+00              4.6003E+00
   252.0           4.6018E+00              4.6013E+00
   253.0           4.6028E+00              4.6022E+00
   254.0           4.6038E+00              4.6032E+00
   255.0           4.6047E+00              4.6042E+00
   256.0           4.6058E+00              4.6052E+00
   257.0           4.6068E+00              4.6063E+00
   258.0           4.6078E+00              4.6073E+00
   259.0           4.6089E+00              4.6084E+00
   260.0           4.6099E+00              4.6094E+00
   261.0           4.6110E+00              4.6105E+00
   262.0           4.6121E+00              4.6116E+00
   263.0           4.6132E+00              4.6128E+00
   264.0           4.6143E+00              4.6139E+00
   265.0           4.6155E+00              4.6150E+00
   266.0           4.6166E+00              4.6162E+00
   267.0           4.6178E+00              4.6174E+00
   268.0           4.6190E+00              4.6186E+00
   269.0           4.6202E+00              4.6198E+00
   270.0           4.6214E+00              4.6210E+00
   271.0           4.6227E+00              4.6222E+00
   272.0           4.6239E+00              4.6235E+00
   273.0           4.6252E+00              4.6248E+00
   274.0           4.6264E+00              4.6261E+00
   275.0           4.6277E+00              4.6273E+00
   276.0           4.6290E+00              4.6287E+00
   277.0           4.6303E+00              4.6300E+00
   278.0           4.6317E+00              4.6313E+00
   279.0           4.6330E+00              4.6327E+00
   280.0           4.6344E+00              4.6340E+00
   281.0           4.6358E+00              4.6354E+00
   282.0           4.6372E+00              4.6368E+00
   283.0           4.6386E+00              4.6382E+00
   284.0           4.6400E+00              4.6397E+00
   285.0           4.6414E+00              4.6411E+00
   286.0           4.6429E+00              4.6426E+00
   287.0           4.6444E+00              4.6440E+00
   288.0           4.6458E+00              4.6455E+00
   289.0           4.6473E+00              4.6470E+00
   290.0           4.6488E+00              4.6485E+00
   291.0           4.6504E+00              4.6501E+00
   292.0           4.6519E+00              4.6516E+00
   293.0           4.6535E+00              4.6532E+00
   294.0           4.6550E+00              4.6547E+00
   295.0           4.6566E+00              4.6563E+00
   296.0           4.6582E+00              4.6579E+00
   297.0           4.6598E+00              4.6595E+00
   298.0           4.6614E+00              4.6612E+00
   299.0           4.6631E+00              4.6628E+00
   300.0           4.6647E+00              4.6645E+00
   301.0           4.6664E+00              4.6662E+00
   302.0           4.6681E+00              4.6678E+00
   303.0           4.6698E+00              4.6695E+00
   304.0           4.6715E+00              4.6712E+00
   305.0           4.6732E+00              4.6730E+00
   306.0           4.6749E+00              4.6747E+00
   307.0           4.6767E+00              4.6764E+00
   308.0           4.6784E+00              4.6782E+00
   309.0           4.6802E+00              4.6800E+00
   310.0           4.6820E+00              4.6817E+00
   311.0           4.6837E+00              4.6835E+00
   312.0           4.6855E+00              4.6853E+00
   313.0           4.6873E+00              4.6871E+00
   314.0           4.6891E+00              4.6889E+00
   315.0           4.6909E+00              4.6907E+00
   316.0           4.6927E+00              4.6925E+00
   317.0           4.6945E+00              4.6943E+00
   318.0           4.6963E+00              4.6961E+00
   319.0           4.6981E+00              4.6979E+00
   320.0           4.6999E+00              4.6997E+00
   321.0           4.7018E+00              4.7016E+00
   322.0           4.7036E+00              4.7034E+00
   323.0           4.7054E+00              4.7052E+00
   324.0           4.7072E+00              4.7070E+00
   325.0           4.7090E+00              4.7089E+00
   326.0           4.7109E+00              4.7107E+00
   327.0           4.7127E+00              4.7125E+00
   328.0           4.7145E+00              4.7143E+00
   329.0           4.7163E+00              4.7161E+00
   330.0           4.7181E+00              4.7179E+00
   331.0           4.7199E+00              4.7197E+00
   332.0           4.7217E+00              4.7215E+00
   333.0           4.7235E+00              4.7233E+00
   334.0           4.7253E+00              4.7251E+00
   335.0           4.7271E+00              4.7269E+00
   336.0           4.7289E+00              4.7287E+00
   337.0           4.7306E+00              4.7304E+00
   338.0           4.7324E+00              4.7322E+00
   339.0           4.7341E+00              4.7339E+00
   340.0           4.7358E+00              4.7357E+00
   341.0           4.7376E+00              4.7374E+00
   342.0           4.7393E+00              4.7391E+00
   343.0           4.7410E+00              4.7408E+00
   344.0           4.7427E+00              4.7425E+00
   345.0           4.7444E+00              4.7442E+00
   346.0           4.7460E+00              4.7458E+00
   347.0           4.7477E+00              4.7475E+00
   348.0           4.7493E+00              4.7491E+00
   349.0           4.7509E+00              4.7508E+00
   350.0           4.7525E+00              4.7524E+00
   351.0           4.7541E+00              4.7539E+00
   352.0           4.7557E+00              4.7555E+00
   353.0           4.7572E+00              4.7571E+00
   354.0           4.7588E+00              4.7586E+00
   355.0           4.7603E+00              4.7601E+00
   356.0           4.7618E+00              4.7616E+00
   357.0           4.7632E+00              4.7631E+00
   358.0           4.7647E+00              4.7645E+00
   359.0           4.7661E+00              4.7660E+00
   360.0           4.7675E+00              4.7674E+00
   361.0           4.7689E+00              4.7688E+00
   362.0           4.7703E+00              4.7701E+00
   363.0           4.7716E+00              4.7714E+00
   364.0           4.7729E+00              4.7728E+00
   365.0           4.7742E+00              4.7740E+00
   366.0           4.7755E+00              4.7753E+00
   367.0           4.7767E+00              4.7765E+00
   368.0           4.7779E+00              4.7778E+00
   369.0           4.7791E+00              4.7789E+00
   370.0           4.7802E+00              4.7801E+00
   371.0           4.7814E+00              4.7812E+00
   372.0           4.7825E+00              4.7823E+00
   373.0           4.7835E+00              4.7834E+00
   374.0           4.7845E+00              4.7844E+00
   375.0           4.7855E+00              4.7854E+00
   376.0           4.7865E+00              4.7864E+00
   377.0           4.7875E+00              4.7873E+00
   378.0           4.7884E+00              4.7882E+00
   379.0           4.7892E+00              4.7891E+00
   380.0           4.7901E+00              4.7899E+00
   381.0           4.7909E+00              4.7907E+00
   382.0           4.7916E+00              4.7915E+00
   383.0           4.7923E+00              4.7922E+00
   384.0           4.7930E+00              4.7929E+00
   385.0           4.7937E+00              4.7935E+00
   386.0           4.7943E+00              4.7942E+00
   387.0           4.7949E+00              4.7947E+00
   388.0           4.7954E+00              4.7953E+00
   389.0           4.7959E+00              4.7958E+00
   390.0           4.7964E+00              4.7962E+00
   391.0           4.7968E+00              4.7966E+00
   392.0           4.7971E+00              4.7970E+00
   393.0           4.7975E+00              4.7973E+00
   394.0           4.7978E+00              4.7976E+00
   395.0           4.7980E+00              4.7979E+00
   396.0           4.7982E+00              4.7981E+00
   397.0           4.7984E+00              4.7982E+00
   398.0           4.7985E+00              4.7983E+00
   399.0           4.7985E+00              4.7984E+00
   400.0           4.7985E+00              4.7984E+00
   401.0           4.7985E+00              4.7984E+00
   402.0           4.7984E+00              4.7983E+00
   403.0           4.7983E+00              4.7982E+00
   404.0           4.7981E+00              4.7980E+00
   405.0           4.7979E+00              4.7978E+00
   406.0           4.7976E+00              4.7975E+00
   407.0           4.7973E+00              4.7971E+00
   408.0           4.7969E+00              4.7968E+00
   409.0           4.7965E+00              4.7963E+00
   410.0           4.9890E+00              4.9888E+00
   411.0           4.9916E+00              4.9915E+00
   412.0           4.9943E+00              4.9941E+00
   413.0           4.9969E+00              4.9967E+00
   414.0           4.9995E+00              4.9993E+00
   415.0           5.0021E+00              5.0019E+00
   416.0           5.0047E+00              5.0045E+00
   417.0           5.0072E+00              5.0071E+00
   418.0           5.0098E+00              5.0096E+00
   419.0           5.0123E+00              5.0121E+00
   420.0           5.0148E+00              5.0147E+00
   421.0           5.0173E+00              5.0171E+00
   422.0           5.0198E+00              5.0196E+00
   423.0           5.0223E+00              5.0221E+00
   424.0           5.0247E+00              5.0246E+00
   425.0           5.0271E+00              5.0270E+00
   426.0           5.0296E+00              5.0294E+00
   427.0           5.0320E+00              5.0318E+00
   428.0           5.0344E+00              5.0342E+00
   429.0           5.0368E+00              5.0366E+00
   430.0           5.0391E+00              5.0390E+00
   431.0           5.0415E+00              5.0414E+00
   432.0           5.0439E+00              5.0437E+00
   433.0           5.0462E+00              5.0460E+00
   434.0           5.0485E+00              5.0484E+00
   435.0           5.0508E+00              5.0507E+00
   436.0           5.0531E+00              5.0530E+00
   437.0           5.0554E+00              5.0553E+00
   438.0           5.0577E+00              5.0575E+00
   439.0           5.0600E+00              5.0598E+00
   440.0           5.0622E+00              5.0621E+00
   441.0           5.0645E+00              5.0643E+00
   442.0           5.0667E+00              5.0666E+00
   443.0           5.0689E+00              5.0688E+00
   444.0           5.0712E+00              5.0710E+00
   445.0           5.0734E+00              5.0732E+00
   446.0           5.0756E+00              5.0754E+00
   447.0           5.0778E+00              5.0776E+00
   448.0           5.0799E+00              5.0798E+00
   449.0           5.0821E+00              5.0820E+00
   450.0           5.0843E+00              5.0841E+00
   451.0           5.0864E+00              5.0863E+00
   452.0           5.0886E+00              5.0884E+00
   453.0           5.0907E+00              5.0906E+00
   454.0           5.0929E+00              5.0927E+00
   455.0           5.0950E+00              5.0948E+00
   456.0           5.0971E+00              5.0970E+00
   457.0           5.0992E+00              5.0991E+00
   458.0           5.1013E+00              5.1012E+00
   459.0           5.1034E+00              5.1033E+00
   460.0           5.1055E+00              5.1054E+00
   461.0           5.1076E+00              5.1075E+00
   462.0           5.1097E+00              5.1096E+00
   463.0           5.1118E+00              5.1116E+00
   464.0           5.1139E+00              5.1137E+00
   465.0           5.1159E+00              5.1158E+00
   466.0           5.1180E+00              5.1178E+00
   467.0           5.1201E+00              5.1199E+00
   468.0           5.1221E+00              5.1220E+00
   469.0           5.1242E+00              5.1240E+00
   470.0           5.1262E+00              5.1261E+00
   471.0           5.1283E+00              5.1281E+00
   472.0           5.1303E+00              5.1301E+00
   473.0           5.1323E+00              5.1322E+00
   474.0           5.1344E+00              5.1342E+00
   475.0           5.1364E+00              5.1363E+00
   476.0           5.1385E+00              5.1383E+00
   477.0           5.1405E+00              5.1403E+00
   478.0           5.1425E+00              5.1424E+00
   479.0           5.1445E+00              5.1444E+00
   480.0           5.1466E+00              5.1464E+00
   481.0           5.1486E+00              5.1484E+00
   482.0           5.1506E+00              5.1505E+00
   483.0           5.1526E+00              5.1525E+00
   484.0           5.1547E+00              5.1545E+00
   485.0           5.1567E+00              5.1565E+00
   486.0           5.1587E+00              5.1586E+00
   487.0           5.1607E+00              5.1606E+00
   488.0           5.1628E+00              5.1626E+00
   489.0           5.1648E+00              5.1646E+00
   490.0           5.1668E+00              5.1667E+00
   491.0           5.1689E+00              5.1687E+00
   492.0           5.1709E+00              5.1707E+00
   493.0           5.1729E+00              5.1728E+00
   494.0           5.1749E+00              5.1748E+00
   495.0           5.1770E+00              5.1768E+00
   496.0           5.1790E+00              5.1789E+00
   497.0           5.1811E+00              5.1809E+00
   498.0           5.1831E+00              5.1829E+00
   499.0           5.1852E+00              5.1850E+00
   500.0           5.1872E+00              5.1870E+00
   501.0           5.1893E+00              5.1891E+00
   502.0           5.1913E+00              5.1912E+00
   503.0           5.1934E+00              5.1932E+00
   504.0           5.1954E+00              5.1953E+00
   505.0           5.1975E+00              5.1974E+00
   506.0           5.1996E+00              5.1994E+00
   507.0           5.2017E+00              5.2015E+00
   508.0           5.2038E+00              5.2036E+00
   509.0           5.2058E+00              5.2057E+00
   510.0           5.2079E+00              5.2078E+00
   511.0           5.2100E+00              5.2099E+00
   512.0           5.2122E+00              5.2120E+00
   513.0           5.2143E+00              5.2141E+00
   514.0           5.2164E+00              5.2162E+00
   515.0           5.2185E+00              5.2184E+00
   516.0           5.2207E+00              5.2205E+00
   517.0           5.2228E+00              5.2226E+00
   518.0           5.2250E+00              5.2248E+00
   519.0           5.2271E+00              5.2270E+00
   520.0           5.2293E+00              5.2291E+00
   521.0           5.2315E+00              5.2313E+00
   522.0           5.2336E+00              5.2335E+00
   523.0           5.2358E+00              5.2357E+00
   524.0           5.2380E+00              5.2379E+00
   525.0           5.2402E+00              5.2401E+00
   526.0           5.2425E+00              5.2423E+00
   527.0           5.2447E+00              5.2445E+00
   528.0           5.2469E+00              5.2468E+00
   529.0           5.2492E+00              5.2490E+00
   530.0           5.2514E+00              5.2513E+00
   531.0           5.2537E+00              5.2535E+00
   532.0           5.2559E+00              5.2558E+00
   533.0           5.2582E+00              5.2581E+00
   534.0           5.2605E+00              5.2603E+00
   535.0           5.2628E+00              5.2626E+00
   536.0           5.2651E+00              5.2649E+00
   537.0           5.2674E+00              5.2672E+00
   538.0           5.2697E+00              5.2695E+00
   539.0           5.2720E+00              5.2719E+00
   540.0           5.2744E+00              5.2742E+00
   541.0           5.2767E+00              5.2765E+00
   542.0           5.2790E+00              5.2789E+00
   543.0           5.2814E+00              5.2812E+00
   544.0           5.2837E+00              5.2836E+00
   545.0           5.2861E+00              5.2859E+00
   546.0           5.2885E+00              5.2883E+00
   547.0           5.2908E+00              5.2907E+00
   548.0           5.2932E+00              5.2931E+00
   549.0           5.2956E+00              5.2955E+00
   550.0           5.2980E+00              5.2978E+00
   551.0           5.3004E+00              5.3002E+00
   552.0           5.3028E+00              5.3027E+00
   553.0           5.3052E+00              5.3051E+00
   554.0           5.3077E+00              5.3075E+00
   555.0           5.3101E+00              5.3099E+00
   556.0           5.3125E+00              5.3123E+00
   557.0           5.3149E+00              5.3148E+00
   558.0           5.3174E+00              5.3172E+00
   559.0           5.3198E+00              5.3197E+00
   560.0           5.3223E+00              5.3221E+00
   561.0           5.3247E+00              5.3246E+00
   562.0           5.3272E+00              5.3270E+00
   563.0           5.3297E+00              5.3295E+00
   564.0           5.3321E+00              5.3320E+00
   565.0           5.3346E+00              5.3344E+00
   566.0           5.3371E+00              5.3369E+00
   567.0           5.3396E+00              5.3394E+00
   568.0           5.3421E+00              5.3419E+00
   569.0           5.3446E+00              5.3444E+00
   570.0           5.3471E+00              5.3469E+00
   571.0           5.3496E+00              5.3494E+00
   572.0           5.3521E+00              5.3519E+00
   573.0           5.3546E+00              5.3544E+00
   574.0           5.3571E+00              5.3569E+00
   575.0           5.3596E+00              5.3594E+00
   576.0           5.3621E+00              5.3620E+00
   577.0           5.3647E+00              5.3645E+00
   578.0           5.3672E+00              5.3670E+00
   579.0           5.3697E+00              5.3695E+00
