#ndep: 2897
#depth (km)      Eta_arithmetic          Eta_geometric
   145.0           9.3257E-01              9.3257E-01
   146.0           9.3324E-01              9.3324E-01
   147.0           9.3392E-01              9.3392E-01
   148.0           9.3461E-01              9.3461E-01
   149.0           9.3530E-01              9.3530E-01
   150.0           9.3600E-01              9.3600E-01
   151.0           9.3670E-01              9.3670E-01
   152.0           9.3741E-01              9.3741E-01
   153.0           9.3812E-01              9.3812E-01
   154.0           9.3883E-01              9.3883E-01
   155.0           9.3955E-01              9.3955E-01
   156.0           9.4027E-01              9.4027E-01
   157.0           9.4100E-01              9.4100E-01
   158.0           9.4173E-01              9.4173E-01
   159.0           9.4246E-01              9.4246E-01
   160.0           9.4319E-01              9.4319E-01
   161.0           9.4392E-01              9.4392E-01
   162.0           9.4466E-01              9.4466E-01
   163.0           9.4540E-01              9.4540E-01
   164.0           9.4613E-01              9.4613E-01
   165.0           9.4687E-01              9.4687E-01
   166.0           9.4761E-01              9.4761E-01
   167.0           9.4834E-01              9.4834E-01
   168.0           9.4908E-01              9.4908E-01
   169.0           9.4982E-01              9.4982E-01
   170.0           9.5055E-01              9.5055E-01
   171.0           9.5128E-01              9.5128E-01
   172.0           9.5201E-01              9.5201E-01
   173.0           9.5274E-01              9.5274E-01
   174.0           9.5347E-01              9.5346E-01
   175.0           9.5419E-01              9.5419E-01
   176.0           9.5491E-01              9.5491E-01
   177.0           9.5562E-01              9.5562E-01
   178.0           9.5633E-01              9.5633E-01
   179.0           9.5704E-01              9.5704E-01
   180.0           9.5774E-01              9.5774E-01
   181.0           9.5844E-01              9.5844E-01
   182.0           9.5913E-01              9.5913E-01
   183.0           9.5982E-01              9.5982E-01
   184.0           9.6050E-01              9.6050E-01
   185.0           9.6117E-01              9.6117E-01
   186.0           9.6184E-01              9.6184E-01
   187.0           9.6250E-01              9.6250E-01
   188.0           9.6316E-01              9.6316E-01
   189.0           9.6381E-01              9.6381E-01
   190.0           9.6445E-01              9.6445E-01
   191.0           9.6509E-01              9.6509E-01
   192.0           9.6572E-01              9.6571E-01
   193.0           9.6634E-01              9.6634E-01
   194.0           9.6695E-01              9.6695E-01
   195.0           9.6757E-01              9.6756E-01
   196.0           9.6817E-01              9.6817E-01
   197.0           9.6877E-01              9.6877E-01
   198.0           9.6936E-01              9.6936E-01
   199.0           9.6995E-01              9.6994E-01
   200.0           9.7052E-01              9.7052E-01
   201.0           9.7110E-01              9.7110E-01
   202.0           9.7166E-01              9.7166E-01
   203.0           9.7222E-01              9.7222E-01
   204.0           9.7278E-01              9.7278E-01
   205.0           9.7333E-01              9.7333E-01
   206.0           9.7387E-01              9.7387E-01
   207.0           9.7440E-01              9.7440E-01
   208.0           9.7493E-01              9.7493E-01
   209.0           9.7546E-01              9.7546E-01
   210.0           9.7597E-01              9.7597E-01
   211.0           9.7649E-01              9.7649E-01
   212.0           9.7699E-01              9.7699E-01
   213.0           9.7749E-01              9.7749E-01
   214.0           9.7799E-01              9.7798E-01
   215.0           9.7847E-01              9.7847E-01
